# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.789936780929565430e-01 5.620836615562438965e-01 9.910541176795959473e-01
1.000000000000000000e+03 1.649582009122241288e-05 2.110736932081636041e-05 6.073148921132087708e-03
